Best: 42060.801 d 57939.199 d% 0.579 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 1.120s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.424s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.545s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.468s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.659s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.020s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.348s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.554s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.674s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.040s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.359s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.247s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.287s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 5.755s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.526s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.228s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.362s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.614s)
Best: 41374.207 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.451s)
Best: 41374.124 d 0.084 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.700s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.262s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.264s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.907s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.494s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.464s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.081s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.371s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.231s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.203s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.456s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.525s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.277s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 5.850s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.434s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.416s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.644s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.374s)
Best: 41374.124 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.231s)
Best: 41358.243 d 15.880 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.326s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.253s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.364s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.776s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.146s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.081s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.109s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.327s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.413s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.311s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.433s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.335s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.301s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.411s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.108s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.252s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.393s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.374s)
Best: 41358.243 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.562s)
Best: 41355.244 d 3.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.484s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.224s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.019s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.491s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.349s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.359s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.745s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.284s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.555s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.228s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.389s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.664s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.386s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.095s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.045s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.303s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.331s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.615s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.531s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.502s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.069s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.318s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.091s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.766s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.209s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.405s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.545s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.242s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.407s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.222s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.468s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.419s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.495s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.328s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.268s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.586s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.352s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.163s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.440s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.223s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.953s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.282s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.407s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.405s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.469s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.689s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.447s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.301s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.326s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.608s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.585s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.996s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.465s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.301s)
Best: 41355.244 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.449s)
Best: 41351.868 d 3.376 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.383s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.384s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.237s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.335s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.878s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.576s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.405s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.789s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.795s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.379s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.695s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.687s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.438s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.273s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 5.986s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.628s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.697s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.415s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.281s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 5.889s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.070s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.505s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.876s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.642s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.619s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.395s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.583s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.397s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.139s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.041s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.298s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.504s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.634s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.057s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.081s)
Best: 41351.868 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.344s)
Best: 41348.656 d 3.212 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.533s)
Best: 41346.023 d 2.633 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.999s)
Best: 41342.199 d 3.825 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.360s)
Best: 41339.872 d 2.327 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.287s)
Best: 41337.206 d 2.666 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.417s)
Best: 41335.197 d 2.008 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.807s)
Best: 41334.333 d 0.864 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.257s)
Best: 41333.201 d 1.132 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.379s)
Best: 41332.289 d 0.912 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.360s)
Best: 41330.662 d 1.628 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.067s)
Best: 41329.462 d 1.199 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.350s)
Best: 41328.092 d 1.370 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.231s)
Best: 41327.065 d 1.027 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.473s)
Best: 41326.510 d 0.555 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.227s)
Best: 41325.932 d 0.578 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.424s)
Best: 41325.267 d 0.665 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.325s)
Best: 41324.355 d 0.912 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.262s)
Best: 41323.982 d 0.373 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.366s)
Best: 41323.278 d 0.704 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.975s)
Best: 41322.884 d 0.394 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.334s)
Best: 41322.735 d 0.149 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.336s)
Best: 41322.362 d 0.372 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.446s)
Best: 41322.113 d 0.249 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.090s)
Best: 41321.848 d 0.266 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.483s)
Best: 41321.667 d 0.180 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.516s)
Best: 41321.667 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.538s)
Best: 41321.567 d 0.100 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.298s)
Best: 41321.478 d 0.089 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.360s)
Best: 41321.422 d 0.056 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.588s)
Best: 41321.356 d 0.066 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.363s)
Best: 41321.274 d 0.083 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.299s)
Best: 41321.243 d 0.030 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.386s)
Best: 41321.174 d 0.070 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.142s)
Best: 41321.152 d 0.022 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.488s)
Best: 41321.134 d 0.017 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.493s)
Best: 41321.120 d 0.015 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.647s)
Best: 41321.119 d 0.001 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.281s)
Best: 41321.116 d 0.002 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.332s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.298s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.314s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 5.973s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.373s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.402s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.088s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.281s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.487s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.145s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.131s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.339s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.396s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.543s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.622s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.540s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.437s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.109s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.326s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.491s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.630s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.509s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.435s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.397s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.024s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.067s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.503s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.301s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.210s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.637s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 5.828s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.432s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.285s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.336s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.289s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.333s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.045s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.297s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.436s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.583s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.863s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.422s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.310s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.373s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 5.886s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.466s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.430s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.423s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.054s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.435s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.434s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.141s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.973s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.406s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.345s)
Best: 41321.116 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.641s)
Best: 41319.663 d 1.453 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.443s)
Best: 41319.663 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.511s)
Best: 41319.663 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.614s)
Best: 41319.663 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.001s)
